Frequenz (Hz)	Pegel (dB)
849,609375	-70,823517
852,539062	-67,690460
855,468750	-74,477478
858,398438	-75,980171
861,328125	-74,001747
864,257812	-74,807121
867,187500	-75,316483
870,117188	-75,520355
873,046875	-75,230705
875,976562	-75,589348
878,906250	-77,031654
881,835938	-76,244080
884,765625	-75,317513
887,695312	-75,692802
890,625000	-75,757500
893,554688	-75,494278
896,484375	-76,253082
899,414062	-76,074471
902,343750	-72,851662
905,273438	-74,707977
908,203125	-76,245125
911,132812	-76,427338
914,062500	-76,434761
916,992188	-77,610374
919,921875	-77,889191
922,851562	-79,234856
925,781250	-79,735275
928,710938	-77,806107
931,640625	-76,933800
934,570312	-78,116707
937,500000	-76,747177
940,429688	-75,802872
943,359375	-76,636665
946,289062	-77,316551
949,218750	-72,323914
952,148438	-67,248909
955,078125	-72,692055
958,007812	-75,933998
960,937500	-76,993423
963,867188	-76,572182
966,796875	-77,950531
969,726562	-78,489990
972,656250	-76,580971
975,585938	-76,953865
978,515625	-76,477875
981,445312	-76,467430
984,375000	-77,767151
987,304688	-79,219200
990,234375	-78,833473
993,164062	-77,676384
996,093750	-77,877487
999,023438	-78,169235
1001,953125	-73,585686
1004,882812	-76,855278
1007,812500	-77,369919
1010,742188	-77,810654
1013,671875	-77,896744
1016,601562	-78,066376
1019,531250	-75,968781
1022,460938	-75,262550
1025,390625	-75,739532
1028,320312	-77,374603
1031,250000	-78,371735
1034,179688	-79,095940
1037,109375	-79,226990
1040,039062	-78,875610
1042,968750	-79,799980
1045,898438	-79,542747
1048,828125	-73,940094
1051,757812	-64,715797
1054,687500	-68,597755
1057,617188	-78,492241
1060,546875	-79,011230
1063,476562	-77,165947
1066,406250	-77,931915
1069,335938	-78,834625
1072,265625	-79,852417
1075,195312	-80,244392
1078,125000	-80,001869
1081,054688	-81,599182
1083,984375	-81,146416
1086,914062	-80,416565
1089,843750	-80,452965
1092,773438	-79,085220
1095,703125	-79,889648
1098,632812	-77,645630
1101,562500	-71,405212
1104,492188	-72,226280
1107,421875	-77,360596
1110,351562	-78,663857
1113,281250	-79,704552
1116,210938	-80,139328
1119,140625	-81,279633
1122,070312	-81,071213
1125,000000	-80,421745
1127,929688	-81,185165
1130,859375	-81,946350
1133,789062	-80,987251
1136,718750	-81,586868
1139,648438	-82,265182
1142,578125	-80,579552
1145,507812	-79,736107
1148,437500	-77,566742
1151,367188	-70,806915
1154,296875	-72,465149
1157,226562	-82,033714
1160,156250	-79,879501
1163,085938	-80,044403
1166,015625	-82,318687
1168,945312	-82,013474
1171,875000	-80,826530
1174,804688	-80,987907
1177,734375	-81,818642
1180,664062	-78,842331
1183,593750	-79,309517
1186,523438	-81,585808
1189,453125	-81,250275
1192,382812	-81,539543
1195,312500	-82,474983
1198,242188	-81,929115
1201,171875	-76,977142
1204,101562	-76,642830
1207,031250	-81,000954
1209,960938	-82,075989
1212,890625	-81,073967
1215,820312	-81,789192
1218,750000	-81,159538
1221,679688	-81,362900
1224,609375	-81,205452
1227,539062	-81,755173
1230,468750	-81,880638
1233,398438	-81,187889
1236,328125	-79,862457
1239,257812	-81,261742
1242,187500	-82,066902
1245,117188	-81,940811
1248,046875	-80,422348
1250,976562	-70,238632
1253,906250	-68,855217
1256,835938	-78,943901
1259,765625	-81,872887
1262,695312	-82,617142
1265,625000	-82,827545
1268,554688	-83,086555
1271,484375	-82,426826
1274,414062	-81,572060
1277,343750	-81,823181
1280,273438	-81,636963
1283,203125	-81,418152
1286,132812	-82,448540
1289,062500	-82,203667
1291,992188	-82,573349
1294,921875	-81,644394
1297,851562	-81,580978
1300,781250	-76,036293
1303,710938	-73,704552
1306,640625	-81,146980
1309,570312	-82,031273
1312,500000	-80,711403
1315,429688	-79,953362
1318,359375	-81,515488
1321,289062	-83,162575
1324,218750	-83,371147
1327,148438	-83,606712
1330,078125	-82,422287
1333,007812	-83,263695
1335,937500	-84,193184
1338,867188	-84,276535
1341,796875	-82,952118
1344,726562	-82,220833
1347,656250	-83,123695
1350,585938	-75,895554
1353,515625	-71,892693
1356,445312	-79,219383
1359,375000	-82,654060
1362,304688	-83,768326
1365,234375	-84,918503
1368,164062	-82,922318
1371,093750	-82,401619
1374,023438	-81,381561
1376,953125	-83,672920
1379,882812	-84,797470
1382,812500	-84,047318
1385,742188	-83,216576
1388,671875	-81,587326
1391,601562	-81,946724
1394,531250	-83,631424
1397,460938	-84,245667
1400,390625	-81,742874
1403,320312	-77,550957
1406,250000	-83,330872
1409,179688	-83,041840
1412,109375	-77,711357
1415,039062	-74,855583
1417,968750	-81,122818
1420,898438	-83,760002
1423,828125	-83,301071
1426,757812	-83,788795
1429,687500	-84,433319
1432,617188	-84,142387
1435,546875	-82,905006
1438,476562	-82,317757
1441,406250	-82,952286
1444,335938	-82,357796
1447,265625	-82,871117
1450,195312	-77,837784
1453,125000	-71,082268
1456,054688	-77,289131
1458,984375	-85,426689
1461,914062	-84,013519
1464,843750	-84,394508
1467,773438	-86,038239
1470,703125	-85,239685
1473,632812	-83,752106
1476,562500	-84,904503
1479,492188	-85,215309
1482,421875	-83,615326
1485,351562	-84,664482
1488,281250	-86,454956
1491,210938	-85,444267
1494,140625	-85,272392
1497,070312	-85,613739
1500,000000	-82,725204
1502,929688	-77,114578
1505,859375	-81,232361
1508,789062	-84,541985
1511,718750	-81,673172
1514,648438	-77,905289
1517,578125	-82,524582
1520,507812	-85,511925
1523,437500	-84,840294
1526,367188	-85,298683
1529,296875	-85,997856
1532,226562	-85,781258
1535,156250	-86,066635
1538,085938	-86,300308
1541,015625	-85,143250
1543,945312	-84,542336
1546,875000	-85,800743
1549,804688	-81,178429
1552,734375	-71,757225
1555,664062	-75,208382
1558,593750	-85,726669
1561,523438	-85,446671
1564,453125	-85,418144
1567,382812	-85,981285
1570,312500	-85,228241
1573,242188	-85,728424
1576,171875	-85,611214
1579,101562	-85,625504
1582,031250	-85,613266
1584,960938	-85,946136
1587,890625	-85,328606
1590,820312	-85,443756
1593,750000	-84,150726
1596,679688	-84,916550
1599,609375	-83,135170
1602,539062	-75,190804
1605,468750	-77,258636
1608,398438	-86,001244
1611,328125	-86,760857
1614,257812	-85,591446
1617,187500	-85,482681
1620,117188	-85,205894
1623,046875	-84,565384
1625,976562	-85,653625
1628,906250	-86,099869
1631,835938	-87,067139
1634,765625	-86,433853
1637,695312	-86,337677
1640,625000	-86,107491
1643,554688	-86,866020
1646,484375	-85,602074
1649,414062	-83,745209
1652,343750	-75,119453
1655,273438	-75,933556
1658,203125	-85,472702
1661,132812	-85,613411
1664,062500	-86,632133
1666,992188	-86,909386
1669,921875	-86,687065
1672,851562	-85,831055
1675,781250	-86,119186
1678,710938	-86,783798
1681,640625	-86,157494
1684,570312	-85,811867
1687,500000	-86,416260
1690,429688	-86,122948
1693,359375	-85,520111
1696,289062	-86,626106
1699,218750	-86,538696
1702,148438	-80,530022
1705,078125	-80,091728
1708,007812	-86,978516
1710,937500	-86,853516
1713,867188	-85,019150
1716,796875	-86,145851
1719,726562	-87,221252
1722,656250	-86,957817
1725,585938	-86,613312
1728,515625	-87,088394
1731,445312	-87,026169
1734,375000	-88,140022
1737,304688	-86,860481
1740,234375	-85,731270
1743,164062	-86,126968
1746,093750	-86,728111
1749,023438	-87,309692
1751,953125	-75,995888
1754,882812	-73,976013
1757,812500	-83,626541
1760,742188	-85,826469
1763,671875	-86,191605
1766,601562	-86,747513
1769,531250	-86,229622
1772,460938	-86,162262
1775,390625	-86,371346
1778,320312	-86,540657
1781,250000	-86,741966
1784,179688	-87,455299
1787,109375	-86,940292
1790,039062	-86,823799
1792,968750	-87,268646
1795,898438	-87,772591
1798,828125	-87,191223
1801,757812	-80,310585
1804,687500	-77,258575
1807,617188	-85,230385
1810,546875	-86,911789
1813,476562	-86,768898
1816,406250	-86,881088
1819,335938	-86,159721
1822,265625	-86,933289
1825,195312	-87,636780
1828,125000	-87,053230
1831,054688	-87,716980
1833,984375	-88,429276
1836,914062	-87,437592
1839,843750	-87,066719
1842,773438	-88,203072
1845,703125	-88,316330
1848,632812	-88,104286
1851,562500	-78,106979
1854,492188	-73,330681
1857,421875	-81,604942
1860,351562	-88,516327
1863,281250	-87,847702
1866,210938	-87,601883
1869,140625	-88,126633
1872,070312	-87,236313
1875,000000	-86,816261
1877,929688	-86,894371
1880,859375	-87,184784
1883,789062	-88,040115
1886,718750	-87,457375
1889,648438	-86,753975
1892,578125	-87,173782
1895,507812	-87,669632
1898,437500	-87,411263
1901,367188	-82,182915
1904,296875	-77,141335
1907,226562	-83,276337
1910,156250	-87,703125
1913,085938	-86,806480
1916,015625	-86,263992
1918,945312	-86,752998
1921,875000	-86,477791
1924,804688	-86,692574
1927,734375	-86,690559
1930,664062	-86,358299
1933,593750	-85,621323
1936,523438	-86,735176
1939,453125	-88,086166
1942,382812	-87,860794
1945,312500	-87,142593
1948,242188	-87,052040
1951,171875	-82,041016
1954,101562	-75,990036
1957,031250	-81,002533
1959,960938	-87,195229
1962,890625	-87,328697
1965,820312	-87,207718
1968,750000	-87,527641
1971,679688	-86,846893
1974,609375	-86,619507
1977,539062	-86,079529
1980,468750	-85,977783
1983,398438	-87,157242
1986,328125	-87,176285
1989,257812	-87,016678
1992,187500	-87,591019
1995,117188	-87,491005
1998,046875	-88,115158
2000,976562	-86,806114
2003,906250	-80,445328
2006,835938	-84,041473
2009,765625	-89,339027
2012,695312	-89,010689
2015,625000	-86,993423
2018,554688	-87,305626
2021,484375	-87,218224
2024,414062	-87,755562
2027,343750	-87,517380
2030,273438	-86,235733
2033,203125	-86,688293
2036,132812	-86,479424
2039,062500	-86,333076
2041,992188	-87,051926
